,pc1,pc2,pc3,pc4
128,-10.8085,-1.89563,-4.2829,-1.70934
129,-9.82187,-2.76968,-5.6491,-1.71611
130,-9.10877,-3.99439,-6.14621,-1.13331
131,-7.61946,-5.60011,-6.2481,-0.274594
132,-9.37515,-6.58124,-5.9941,0.17553
133,-10.0279,-6.7654,-5.70238,-0.0317799
134,-11.7722,-6.06056,-5.32529,0.0333668
135,-12.3305,-5.75282,-5.21307,0.988362
136,-14.0992,-4.42774,-5.82952,-0.303353
137,-14.9856,-3.39989,-4.58534,-0.576758
138,-13.9097,0.0917938,-3.30374,-0.156158
139,-12.152,0.998628,-3.62615,-0.99167
140,-10.34,0.125614,-1.84477,0.344597
141,-6.61871,-1.3419,-0.340197,1.36281
142,-4.2738,-0.181749,0.770091,0.578058
143,-5.381,-0.93236,2.30842,1.93331
144,-5.60549,0.233483,0.960234,1.62091
145,-6.8314,0.541388,-1.88359,1.27452
146,-7.75006,1.50009,-2.89193,2.14596
147,-7.17555,1.54706,-4.21115,0.68579
148,-8.99892,1.58392,-4.29154,-0.26368
149,-9.05016,2.32649,-5.00827,-2.30212
150,-9.30341,2.25587,-5.56773,-0.937553
151,-10.8073,1.02957,-6.417,-1.59004
152,-15.1567,-1.88728,-7.1366,-0.148522
153,-15.7132,-2.79868,-3.5046,-0.695392
154,-18.9921,-3.23942,-2.5537,-1.28512
155,-17.9,-2.29616,-2.00896,-1.66667
156,-13.5562,-1.57624,-0.612409,-0.734478
157,-9.42212,-1.01547,0.191623,0.654613
158,-5.83164,-0.127095,-1.01326,1.08759
159,-2.81531,1.2239,-2.66812,2.64122
160,-0.401609,2.94131,-2.31814,1.89488
161,1.02968,2.65416,0.537527,1.15432
162,2.49813,2.40381,0.0180151,-0.453279
163,7.07502,3.64834,-0.404269,-1.40184
164,12.4915,3.37244,-1.47624,-0.995248
165,8.9277,1.62403,-1.37831,0.508072
166,8.36031,2.1036,-2.00013,0.303076
167,9.11349,3.69581,-1.34932,-0.0817701
168,9.88103,4.5422,-2.62586,-0.766954
169,8.14955,2.05996,-1.45082,0.0198556
170,6.98783,-0.253886,2.05212,-1.33223
171,5.10663,-0.778192,1.05725,-0.909646
172,7.31919,-0.271655,1.14213,-1.17283
173,9.38544,-1.22628,0.222044,-0.6228
174,9.06549,-0.570584,-1.23944,0.0506875
175,8.03687,1.49858,-1.96239,-0.450524
176,7.75804,2.33226,-1.55337,-1.22798
177,9.04783,1.57738,-1.10863,-1.73879
178,9.88747,0.0789667,-1.40731,-2.00234
179,6.92135,-0.755037,-1.0384,-1.69781
180,5.63882,-1.66603,-1.19423,-1.4639
181,4.68047,-3.54417,-1.39857,0.0924763
182,2.95645,-4.023,-1.69967,-0.161546
183,2.2884,-3.46859,0.0195224,0.721224
184,2.24939,-1.02075,-0.880733,1.19591
185,4.60895,-1.81177,-1.25234,1.27076
186,2.50996,0.142939,-0.384397,1.4865
187,2.75733,1.31282,-1.08521,0.509224
188,2.23414,0.468952,-1.30432,-0.340363
189,1.52986,0.202991,-0.66901,-0.106989
190,1.34737,0.136246,-0.804594,0.642311
191,3.83055,0.0904655,-1.1956,0.575087
192,6.07914,0.197578,-1.26282,0.0615679
193,6.77087,0.767982,-2.3069,-0.428245
194,7.12013,0.752588,-0.452721,-0.471752
195,7.99261,1.12555,-0.44178,-0.759963
196,8.28832,1.12014,0.153652,1.00587
197,7.77492,0.675731,1.88652,3.07338
198,7.84548,-1.3471,0.293193,4.69549
199,9.07837,-2.85191,-1.69779,4.93902
200,13.6721,-3.91899,-2.52639,1.85084
201,13.2107,-5.46348,-1.70454,0.799496
202,12.1754,-4.59502,-2.63737,0.973281
203,10.7575,-4.09551,-3.53457,1.72294
204,11.5111,-2.72507,-3.24725,0.332755
205,12.8206,-2.14711,-3.13128,-0.667728
206,11.3909,-2.59487,-2.14324,1.00199
207,9.68642,-1.6407,-1.93974,0.877322
208,7.0143,0.187108,-1.2569,-1.69055
209,6.28491,2.11516,-0.954065,-3.43012
210,4.83585,2.41872,-2.71458,-3.93629
211,5.01329,2.16564,-2.98181,-1.9075
212,5.27732,2.21333,-2.03785,-1.39084
213,8.3502,1.94859,-1.72273,-1.24528
214,12.4782,1.45685,-0.856359,-1.13057
215,13.4555,2.78861,-1.51134,-1.7373
216,11.2573,3.55185,-2.65671,-3.38609
217,12.913,3.27924,-3.44896,-3.70697
218,11.9024,3.8478,-2.51317,-3.5996
219,10.7421,2.40647,-3.47265,-4.86863
220,9.75882,2.16181,-4.29239,-4.44921
221,9.25852,0.826496,-2.78895,-1.85431
222,9.03323,0.338341,-1.77223,0.709685
223,12.6039,2.21079,-1.46368,-0.789478
224,12.8569,-0.794342,-1.38311,-0.11283
225,13.0691,-2.19289,-1.47816,0.93612
226,15.014,-0.648122,-1.97332,0.297493
227,11.8544,-1.14298,0.219048,-1.40816
228,7.47955,-1.08124,0.534427,0.0302123
229,8.37937,0.223875,-0.293798,1.48151
230,5.9611,-0.428856,1.07186,2.26834
231,9.19385,-0.328396,1.63781,1.65082
232,8.86158,-2.18817,0.616217,2.01368
233,8.10626,0.115925,1.30265,0.627602
234,7.79158,-0.633249,1.80727,-0.868149
235,11.0588,-0.845805,-0.351653,-1.71917
236,9.07463,0.620168,-1.21961,-1.58562
237,8.8766,2.50633,-2.56282,0.823172
238,7.6867,3.39604,-2.1485,-0.401715
239,7.78719,5.33468,-0.940214,0.0293706
240,11.0803,5.70652,-2.00501,-0.278902
241,12.0496,5.11086,-0.450091,0.103022
242,11.416,3.73698,-0.0527075,-0.508915
243,13.3934,2.66177,-0.562351,-2.16741
244,8.96812,1.40234,1.93328,-1.21155
245,5.42032,-0.154812,0.425445,-2.25836
246,1.72113,0.43169,-1.12612,-1.83118
247,2.02409,-0.25831,-1.63935,-2.24022
248,2.10584,-0.220168,-2.48382,-1.99457
249,-3.49226,-2.10898,-3.35065,-2.24753
250,-4.5967,-0.929028,-3.38734,-1.40014
251,-6.83729,0.819308,-4.63355,-1.72768
252,-10.4788,0.604445,-5.52229,-0.0390929
253,-11.3449,0.803211,-6.59515,1.83413
254,-13.0036,0.793023,-6.02487,0.885397
255,-16.9143,-0.0224251,-4.22003,1.03266
256,-16.2376,-0.822847,-0.90259,1.18421
257,-20.9385,-1.46224,0.0607784,-0.137528
258,-25.0497,-0.78745,-0.651042,0.664531
259,-28.0672,-1.46621,-2.50947,0.526972
260,-31.8645,-3.67613,-3.70454,2.2542
261,-30.9328,-5.47686,-4.67528,0.76051
262,-32.4575,-3.94763,-3.65194,1.98927
263,-33.894,-3.87414,-3.54187,3.03344
264,-34.4424,-2.86497,-2.44606,5.15992
265,-31.7038,-2.54817,-1.82226,5.11734
266,-27.6315,-2.51599,-2.2218,4.71248
267,-21.796,-1.85866,-1.50522,4.32514
268,-20.2971,1.00472,-2.13491,2.72868
269,-17.2508,1.93951,-1.20918,2.81305
270,-14.0921,2.12902,-1.65863,2.0954
271,-7.74486,-1.55847,-2.57697,3.3487
272,-2.31167,1.57317,-3.64213,3.14401
273,0.33846,0.992859,-2.29156,4.52245
274,0.894806,1.84543,-2.2779,3.28486
275,0.63456,4.17223,-3.4005,1.96821
276,-1.38804,2.78809,-2.57015,0.426065
277,-3.12217,2.48854,-1.55404,1.70266
278,-0.597083,1.4967,-1.55983,1.45208
279,0.795071,0.480016,-0.681448,1.06374
280,1.35598,-1.36579,-0.599062,2.3223
281,3.49218,-1.00531,-0.241802,3.60204
282,3.84618,-0.516626,-1.36036,2.74309
283,7.13566,-0.717363,-3.74509,4.2697
284,5.32843,-2.92385,-4.54647,3.05122
285,6.72481,-3.86661,-3.23131,2.79141
286,7.25404,-2.78986,-3.48627,3.38478
287,10.9919,-1.49016,-2.72619,3.10717
288,11.9174,-0.654433,-4.41825,2.00186
289,3.80077,-0.146668,-2.4985,0.887368
290,0.824895,0.658909,-2.27602,0.896963
291,2.28943,-1.17834,0.0249099,-1.85173
292,3.71554,-0.552678,1.13944,-1.54778
293,3.94474,-1.10167,0.847711,0.558043
294,5.82344,-1.03675,1.61881,-0.695843
295,1.59737,-1.41028,-1.66579,-0.231027
296,-0.816373,-3.38597,-0.809824,0.635705
297,-6.21998,-3.36444,-1.57768,-0.543776
298,-6.9248,-0.231539,-2.98729,0.283427
